UniqueCount	AmbigCount
130	2366
0	2366
0	1247
0	1247
1369	0
94	4307
163	4307
40	118
0	118
1076	7241
54	6726
356	6775
14	7079
6	266
0	266
37	0
62	0
74	1128
14	1128
53	0
23	0
38	0
32	0
666	0
1139	0
344	6157
91	6157
103	5991
0	12
1	12
120	13278
0	13278
29742	0
36	0
144	160
2	0
41	4
12	20
0	28
1	113
74	1959
0	1959
0	3
4494	0
1190	0
39	2137
0	2137
10631	0
4696	0
551	0
0	7077
0	7078
6	2155
0	57366
1	57366
8536	93524
91	93524
1	91283
1019	0
171	0
829	0
107	0
347	1
120	1072
0	1072
275	0
73	0
259	0
235	839
0	839
134	0
467	0
1118	0
0	345
0	270
0	363
0	71
0	164
0	149
0	251
0	30
0	5
505	0
103	1199
10	1199
0	676
38	637
103	676
670	0
494	0
53	753
28	753
23	327296
20	327296
0	320222
7975	320222
1111	48004
0	48004
17	48004
7021	329403
1	329403
0	329401
94	133029
2	111555
0	133110
1	112844
5	110943
30	113439
0	112838
122	113215
3884	98092
0	98016
0	98092
8764	0
1267	0
39	5175
0	5175
2158	0
132	3936
68	4192
30	4123
19	3748
38	4190
11	3411
3	3411
78	3411
0	2725
4876	0
1527	0
252	9492
10	8944
125	9703
19	9767
3	1128
0	2522
0	2522
22183	0
9164	0
0	19038
0	18790
7	14635
0	3903
0	16745
0	16497
0	1018
0	1024
7	890
637	0
197	6500
99	6500
4628	1
3001	0
113	2947
52	2947
66	5603
0	5603
33	4544
2	4509
0	4742
0	5158
0	3628
0	1990
0	1877
115	630
0	630
8	481
452	0
655	5412
0	5412
51	583
0	583
3927	0
84	1344
0	1344
842	0
0	31941
3698	30158
0	33241
26	33241
366	35372
0	25440
0	36052
0	36052
58	33027
0	30442
0	29412
0	28250
0	34666
35	33259
0	33030
0	9381
0	9169
0	9755
18	9543
0	4342
0	4127
0	15197
0	15207
0	15255
0	15265
40	10712
1257	12589
52	12589
0	11520
1150	11520
211	6665
40	6665
0	13237
0	13243
0	11970
0	11976
21	11727
0	10738
10	0
6444	0
1	57114
0	55684
0	61737
0	60307
0	57252
0	55822
4613	0
0	9943
0	10079
0	9853
0	8209
0	8345
0	8119
0	8968
0	9104
0	8878
1	8694
46	9016
231	7730
0	4316
16	109195
2750	109006
0	109195
130	78592
256	8181
0	8181
4169	0
731	2892
0	2892
0	2892
0	11146
0	10825
0	10116
0	9795
2327	0
1630	0
415	6549
0	6549
2020	4017
260	35042
0	35042
34	0
388	0
1564	0
2518	0
1817	0
4064	0
34	408
0	408
773066	0
2321	0
1453	0
0	57
1	59
0	57
0	57
4	59
72	489
41	489
537	8336
0	8336
0	5887
0	4497
1379	0
177	2011
7	2011
4006	57805
23	57805
5523	0
0	1449
1	1449
4762	0
459	8794
0	8801
0	5640
1780	0
9151	0
2288	0
846	11222
33	1942
9	9717
2	12389
175	12389
0	12203
1057	4824
0	4824
190	7785
331	7785
1591	0
3960	104
1223	0
54	129
957	579
0	95
4	66
0	66
37	1224
69	1224
0	1192
0	56672
0	55015
2	55012
0	53415
0	51758
0	0
0	0
0	0
1425	0
85	0
0	300
15	315
0	317
0	2
652	15248
0	15248
0	1244
689	1244
242	603
0	603
4336	0
2581	0
2776	0
1613	6217
0	6154
0	4705
722	9209
0	8313
0	9209
12582	1
771	0
35	139
1	139
4	5256
147	5256
267	1854
0	1854
1742	0
350	0
70	5
3321	0
453	0
4053	0
278	2159
8	2159
210	20994
0	20994
0	20847
31	20847
10064	0
7293	0
7263	0
6480	0
1113	0
2137	0
2191	0
1271	0
60	1153
0	1153
2815	44176
0	43007
33	44176
3129	0
3997	0
14554	0
23	1841
0	1841
1616	0
20	224
0	224
12419	341830
0	341830
845	42890
0	42890
91915	0
13767	0
2953	68267
0	68267
140866	0
373	0
153	8700
0	8700
2417	0
515	14672
0	15466
254	14507
0	14719
128	12817
10893	5088
33	5088
1173	10043
0	10043
6	3495
207064	3494
0	8311
0	8065
34	8060
0	7141
2562	5711
0	5711
0	24526
0	23243
0	22244
0	20961
3	197196
3	196383
7885	198766
15	29680
23	27643
1	27303
7	29686
0	27647
46	27642
0	11465
0	8149
22	11139
9	10965
14	2424
0	2764
62	1567
19	913
401	2389
72	2694
0	2694
0	1067
4155	0
1103	0
6345	0
2450	0
219	1615
52	1615
2091	20885
193	20885
630	0
743	0
1240	0
521	6385
0	6385
1709	0
2503	788
0	788
15356	1
1235	0
71	0
9	112
0	112
37	0
7912	192
0	12969
0	12436
0	12505
0	13038
0	13856
0	14389
0	15164
0	14631
0	12392
0	12925
