UniqueCount	AmbigCount
137	3298
0	3296
0	1827
1	1827
1528	0
114	4963
208	4963
23	101
0	101
1382	8822
69	8218
403	8278
10	8623
6	230
0	230
65	0
66	0
109	1386
10	1386
82	0
63	0
43	0
40	0
1225	0
2094	0
443	8339
121	8339
111	8022
0	12
0	12
158	16380
0	16380
28865	0
46	0
114	120
8	0
67	5
0	20
0	7
0	33
34	844
0	844
0	5
2844	0
505	0
34	2357
0	2357
13328	0
4957	0
650	0
0	19319
0	19319
7	6029
0	65793
6	65793
14791	159143
126	159143
2	155421
1042	0
173	0
1112	0
99	0
500	10
112	1212
0	1212
343	0
85	0
204	0
265	1098
0	1098
169	0
609	0
1385	0
0	382
1	307
0	409
0	56
0	158
0	145
2	277
0	28
0	7
645	0
133	1703
36	1703
0	847
40	775
110	847
882	0
545	0
72	709
29	709
59	412918
30	412918
0	402968
13262	402968
1218	58704
0	58704
32	58704
8233	414634
0	414634
0	414634
113	156001
4	132638
0	156094
2	134067
3	131960
40	134640
0	134070
149	134421
3231	87843
0	87702
0	87843
10257	0
1832	0
41	5722
0	5722
2947	0
240	5673
117	6115
71	6009
31	5410
78	6115
37	5425
10	5425
107	5424
0	4441
7312	0
1889	0
389	13389
10	12532
216	13655
15	13791
1	1636
0	3171
0	3171
30701	0
5625	0
0	20512
0	20286
21	15246
0	4259
0	17786
0	17560
0	1275
0	1276
1	1164
857	0
173	6371
99	6371
7273	1
3374	0
162	4130
59	4130
73	6552
0	6552
57	5209
2	5245
0	5552
0	6001
0	4168
0	2249
0	2131
122	567
0	567
13	440
663	0
859	7754
0	7754
76	748
0	748
4713	0
90	1676
0	1676
1106	0
0	43166
5271	40196
0	44633
16	44632
586	47393
1	34182
0	48352
0	48351
78	44536
0	41220
0	39938
0	38522
0	46568
56	44825
0	44541
0	12973
0	12694
0	13500
42	13221
0	5960
0	5678
0	22779
0	22803
0	22456
0	22480
44	16073
1732	16432
91	16432
0	13425
1364	13425
216	7072
45	7072
0	23009
0	23023
0	20747
1	20761
13	20514
0	18735
29	0
13425	0
0	98343
0	95642
0	104977
0	102276
0	97796
0	95095
8037	0
0	11557
0	11734
0	11439
0	9577
0	9754
0	9459
0	10389
0	10566
0	10271
0	10138
59	12159
256	10252
0	5876
39	132258
3388	131949
0	132258
268	95813
296	10495
0	10495
5929	0
1140	3869
2	3869
0	3869
0	15301
0	14778
0	13858
0	13335
3042	0
2253	0
549	8744
0	8744
3340	5430
288	40635
0	40635
245	0
513	0
1841	0
1728	0
2275	0
4296	0
76	690
0	690
1013571	0
3349	0
1958	0
0	58
0	58
0	58
0	58
3	58
127	592
49	592
648	10722
0	10722
0	7587
0	5784
1906	0
201	2750
2	2750
4897	67396
32	67396
7395	0
0	1964
6	1964
5636	0
522	12219
1	12239
0	7842
2313	0
11942	0
3195	0
1144	14404
40	2500
13	12473
1	14664
218	14664
0	14448
1566	6661
1	6661
212	10378
474	10378
2162	0
5666	127
1553	0
74	169
1421	785
0	135
4	86
0	74
107	2589
94	2589
0	2536
0	75041
0	72708
0	72706
0	71421
0	69088
1	8
0	1
0	8
1656	0
90	0
0	408
33	435
0	435
0	0
661	16027
0	16027
1	1423
768	1423
295	684
0	684
6468	0
2797	0
3637	0
1812	7519
0	7406
0	5716
770	11035
0	9850
1	11035
18041	3
1086	0
67	134
7	134
3	6306
197	6306
352	2416
0	2416
2678	1
593	0
94	3
4473	0
472	0
5719	0
386	2479
11	2479
255	24441
0	24441
0	24260
48	24260
12455	0
9668	0
9418	0
9184	0
1401	0
2720	0
2980	0
1628	0
58	1095
0	1095
3386	56472
0	54823
36	56472
4544	0
4356	0
17115	0
46	2349
0	2349
1840	0
26	173
