UniqueCount	AmbigCount
141	2976
0	2974
0	1568
3	1568
1272	0
107	3325
160	3325
46	126
0	126
1064	6468
51	6063
314	6101
7	6315
10	187
1	187
42	0
54	0
62	900
4	900
41	0
69	0
97	0
20	0
936	0
1896	0
291	6431
126	6431
97	6242
2	9
0	9
114	11443
0	11443
27036	0
43	0
144	153
4	0
56	3
2	20
0	10
3	55
51	1118
0	1118
0	14
3551	0
877	0
28	1871
0	1871
8855	0
4151	0
527	0
0	19391
0	19394
10	6084
0	46617
8	46617
9621	100659
85	100659
0	98408
737	0
154	0
683	0
94	0
503	11
100	908
0	908
262	0
66	0
224	0
233	969
0	969
126	0
485	0
1051	0
0	365
0	258
0	380
0	64
0	187
0	177
1	240
0	39
0	14
488	0
92	1043
12	1043
0	611
28	579
77	611
582	0
481	0
51	568
28	568
48	274884
23	274884
0	268605
9259	268605
1091	42045
0	42045
32	42045
5471	276910
3	276910
0	276909
81	104829
4	88555
0	104915
1	89484
1	88057
37	89837
1	89458
151	89669
2796	69184
0	69063
0	69184
6610	0
1198	0
31	4426
0	4426
2163	0
119	3373
69	3650
29	3567
28	3220
20	3647
18	3335
3	3335
87	3335
0	2657
6215	0
1224	0
303	10034
3	9260
175	10144
16	10233
6	1201
0	2502
4	2502
21777	0
7664	0
0	15579
0	15367
8	11717
0	3319
0	13347
0	13135
0	1107
0	1107
3	998
535	0
173	4731
99	4731
4837	0
2574	0
106	2638
40	2638
52	4414
0	4414
55	3447
3	3461
0	3603
0	4025
0	2691
0	1509
0	1421
94	386
0	384
1	285
529	0
662	5482
0	5482
65	625
0	625
5229	0
60	1410
0	1410
966	0
0	30224
3786	28413
0	31419
26	31416
417	33485
0	23769
0	34112
0	34109
51	31107
0	28783
0	27772
0	26733
0	32744
45	31346
0	31111
0	9898
0	9652
0	10257
23	10011
0	4534
0	4284
0	16263
0	16287
0	15856
0	15880
44	11425
1132	11237
63	11237
0	8444
852	8444
169	4980
24	4980
0	16751
0	16767
0	15095
1	15111
41	14860
0	13562
36	0
11340	0
2	62177
0	60468
0	66417
0	64708
0	62098
0	60389
8027	0
0	8523
0	8675
0	8406
0	7104
0	7256
0	6987
0	7656
0	7808
0	7539
1	7369
48	8199
141	7069
0	3976
23	106711
2826	106368
0	106711
215	77404
323	9478
0	9478
4487	0
952	3085
1	3085
0	3085
0	11486
0	11068
0	10473
0	10055
3041	0
2237	0
398	6175
0	6175
1975	3783
211	33177
0	33177
45	0
264	0
1276	0
1515	0
1765	0
3926	0
35	404
0	404
669434	0
2654	0
1513	0
1	56
0	56
0	56
0	56
4	56
113	444
44	444
613	9266
0	9266
0	6555
0	4994
1565	0
153	2006
11	2006
3928	54759
26	54759
5908	0
0	1296
5	1296
4809	0
427	8724
1	8743
0	5454
1823	0
9012	0
2566	0
862	10445
28	1807
6	9070
1	11557
196	11557
0	11370
1217	5114
0	5114
187	8472
380	8472
1688	0
4726	150
1153	0
96	173
1180	727
0	133
4	108
0	99
49	1742
72	1742
0	1704
0	50894
0	49347
0	49334
0	48101
0	46554
0	1
0	1
0	1
1200	0
82	0
0	355
23	373
0	373
0	0
681	13818
0	13818
3	1058
535	1058
241	550
0	550
5033	0
2309	0
2603	0
1477	6005
0	5912
0	4623
686	8864
0	8011
3	8864
14386	0
878	0
57	106
4	106
13	4951
194	4951
285	1995
0	1995
1937	0
420	0
264	10
3525	0
573	0
3439	0
253	1740
9	1740
243	24125
0	24125
0	23998
20	23998
9194	0
7990	0
7512	0
6750	0
1003	0
2392	0
2391	0
1331	0
56	849
0	849
2224	40299
0	38793
47	40299
4811	0
3491	0
12957	0
46	1736
0	1736
1062	0
19	170
0	170
11245	308012
0	308012
907	42646
0	42646
107919	0
18295	0
2664	63966
0	63966
140991	0
1989	0
141	6311
0	6311
2729	0
401	12307
0	12982
203	12094
0	12288
100	10599
11547	5430
42	5430
1067	8552
0	8552
1	3024
214190	3020
0	10032
0	9720
53	9714
0	8498
1978	4391
0	4391
0	22777
0	21884
0	20406
0	19513
0	162469
1	162061
7789	164073
36	29454
20	27572
1	27255
3	29474
0	27592
17	27571
0	9615
0	6567
19	9366
21	9208
18	2092
1	2448
52	1402
18	763
450	2362
60	2554
0	2554
0	1073
4706	0
1430	1
6731	0
2916	0
161	1224
53	1224
1260	12701
166	12701
806	0
1242	0
2637	0
737	7634
0	7634
1599	0
2931	895
0	895
14167	0
1230	0
78	0
7	60
0	60
52	0
7112	138
0	13900
0	13313
0	13539
0	14126
0	15164
0	15751
0	17039
0	16452
0	13277
0	13864
0	13522
0	14109
0	13823
0	14410
0	14315
0	13728
0	13330
0	13917
0	14284
0	13697
86	1
19	0
0	4789
48	4789
0	4802
6	4802
1010	3728
43	3728
0	3705
0	3580
1137	0
16108	0
13	733
62	733
15	842
